screen_name,created_at,text,id
generalelectric,2015-10-06T14:45:00,@chutry Sorry you're having issues! Please email the details to eResponse@ge.com and the @GE_Appliances team will take a look.,651408038709043200
generalelectric,2015-10-06T14:45:00,@orangegirlnz Sorry you're having issues! Please email the details to eResponse@ge.com and the @GE_Appliances team will take a look.,651408006547120129
generalelectric,2015-10-06T15:52:00,".@BillRuh_GE reminds audiences when businesses get connected, they really do change the world. #GEMM15 http://t.co/A7oHtMpbbN",651424758270029824
generalelectric,2015-10-06T19:21:00,"RT @GE_Reports: LIVE on #Periscope: Inside GE's #Cyclotron factory in Uppsala, #Sweden with Erik Stromqvist @gehealthcare https://t.co/m1OE…",651477289750896640
generalelectric,2015-10-06T21:41:00,"Revisit the excitement of #GEMM15, where the world's first digital industrial company was centerstage.
https://t.co/fI3LYoe5Rn",651512641865691140
generalelectric,2015-10-07T13:29:00,"Fallonventions is back! We’re featuring some amazing kid inventors on @FallonTonight, and your child could be next! http://t.co/b2bR2COF8e",651751158097154048
generalelectric,2015-10-07T17:14:00,We’re all digital industrial companies now. Let’s help ourselves by helping each other. #Predix #IndustrialInternet http://t.co/MZ3ZCdhlNp,651807820371771392
generalelectric,2015-10-07T17:36:00,"RT @FallonTonight: Stopping by tonight are Kate Winslet, Norman Reedus (@wwwbigbaldhead), and #Fallonventions! #FallonTonight http://t.co/T…",651813464315445248
generalelectric,2015-10-07T17:58:00,"We’re proud to introduce @currentbyge, an energy startup nurtured within the walls of GE.
https://t.co/IQzAm39xqk",651818973198090241
generalelectric,2015-10-07T21:29:00,"@RosPalacio ¡Mantenerse inspirado, Luis!",651871968183087104
generalelectric,2015-10-08T04:30:00,"@csuarez_01 Thanks for watching, Cecilia! Let us know what your favorite invention is from tonight's #Fallonventions!",651978059466297344
generalelectric,2015-10-08T04:31:00,@fallon_timber Thanks for watching! We'd love to hear which invention is your favorite from tonight's #Fallonventions,651978223190962176
generalelectric,2015-10-08T04:32:00,"@allison_mahala Thanks for watching, Allison! Which invention was your favorite? #Fallonventions",651978353197645825
generalelectric,2015-10-08T04:32:00,@itismemissy And innovative! #FutureInventor,651978509003436032
generalelectric,2015-10-08T04:33:00,@JaszyJaszx3 Thanks for watching Jasz! Which #Fallonvention was your favorite?,651978618588037120
generalelectric,2015-10-08T04:33:00,"@KittyOKelley And in this case, inventive! Which invention or inventor was your favorite?",651978750343692288
generalelectric,2015-10-08T04:34:00,"@AndrewCollet Thanks for watching, Andrew! Which invention was your favorite? #Fallonventions",651978845944418305
generalelectric,2015-10-08T04:34:00,@csuarez_01 Creative problem solving! We can dig it 👍,651978957823307776
generalelectric,2015-10-08T04:34:00,@caro_matos Couldn't we all! Thanks for watching #Fallonventions!,651979075809083392
generalelectric,2015-10-08T04:35:00,@djtino224 and SO creative! Which invention or kid inventor was your favorite? #Fallonventions,651979231086387200
generalelectric,2015-10-08T04:36:00,@enablurr Equal parts adorable and innovative! #Fallonventions,651979575216484352
generalelectric,2015-10-08T04:36:00,"@WamzHerself Not lazy, just innovative! #Fallonventions",651979382647582720
generalelectric,2015-10-08T04:38:00,@LazyDaizy26 We're glad you like it! We love that we can help support #FutureInventors! #Fallonventions,651979939776987136
